date,day_week,open,high,low,close
20190102,3,54.1200000,56.5600000,52.5100000,54.6800000
20190103,4,54.2900000,56.3000000,53.9300000,55.5500000
20190104,5,55.6700000,58.3100000,55.3400000,57.4200000
20190107,1,57.4100000,58.9300000,57.2600000,57.5700000
20190108,2,57.6400000,58.8700000,57.1300000,58.5900000
20190109,3,59.1500000,61.6900000,59.0500000,61.3400000
20190110,4,61.1500000,61.9100000,60.4400000,61.1800000
20190111,5,61.1900000,62.4900000,60.0800000,60.5900000
20190114,1,60.6200000,61.0400000,58.9000000,59.3200000
20190115,2,59.3600000,60.8600000,59.1100000,60.5300000
20190116,3,60.4200000,61.4500000,60.0300000,61.3000000
20190117,4,61.0500000,61.5400000,60.0400000,61.1500000
20190118,5,61.3300000,63.0000000,61.3200000,62.5800000
20190121,1,62.7400000,63.1500000,62.2500000,62.8100000
20190122,2,62.5900000,62.7100000,60.5700000,61.6100000
20190123,3,61.3700000,62.3300000,60.2100000,60.9900000
20190124,4,61.0200000,61.5100000,60.4100000,61.1900000
20190125,5,61.1300000,61.9200000,60.7000000,61.4400000
20190128,1,61.4800000,61.6300000,59.4000000,59.9500000
20190129,2,59.6900000,61.6900000,59.6100000,61.1600000
20190130,3,61.0700000,62.5100000,60.9600000,61.6600000
20190131,4,61.7000000,62.4600000,60.6300000,61.2200000
20190201,5,61.0600000,62.9700000,60.4600000,62.9000000
20190204,1,62.8300000,63.6300000,61.2800000,62.8200000
20190205,2,62.6400000,63.0200000,61.7200000,62.1100000
20190206,3,62.0600000,62.8000000,61.0500000,62.5500000
20190207,4,62.5000000,62.9100000,60.6000000,61.6800000
20190208,5,61.6600000,62.3600000,61.0400000,61.9700000
20190211,1,62.1100000,62.3400000,60.9000000,61.5800000
20190212,2,61.5900000,63.3400000,61.5900000,62.6100000
20190213,3,62.7000000,63.9800000,62.6900000,63.6000000
20190214,4,63.6900000,64.8100000,63.2500000,64.5600000
20190215,5,64.8600000,66.3900000,64.4200000,66.3900000
20190218,1,66.3900000,66.8300000,65.9000000,66.5000000
20190219,2,66.4400000,66.6500000,65.5800000,66.4400000
20190220,3,66.3000000,67.3800000,65.6300000,67.1800000
20190221,4,67.0500000,67.3100000,66.6900000,66.9400000
20190222,5,66.9600000,67.7300000,66.8700000,66.9100000
20190225,1,66.9700000,67.4700000,64.5400000,64.9200000
20190226,2,64.9200000,65.8800000,64.4900000,65.7900000
20190227,3,65.9100000,66.8800000,65.4200000,66.4700000
20190228,4,66.5200000,66.7800000,65.9000000,66.2800000
20190301,5,66.4800000,67.1400000,64.5900000,65.0000000
20190304,1,64.9700000,66.3400000,64.9300000,65.5500000
20190305,2,65.4600000,66.2300000,65.0400000,65.5700000
20190306,3,65.4900000,66.1800000,65.2200000,65.9300000
20190307,4,65.8800000,67.0000000,65.7500000,66.0900000
20190308,5,66.0800000,66.0900000,64.0200000,65.8100000
20190311,1,65.7600000,66.7500000,65.6300000,66.6300000
20190312,2,66.7000000,67.3900000,66.3400000,66.8200000
20190313,3,66.9100000,67.7600000,66.7000000,67.6400000
20190314,4,67.6500000,68.1400000,67.0300000,67.1800000
20190315,5,67.1800000,67.7100000,66.1300000,67.0200000
20190318,1,67.1400000,67.6900000,66.6900000,67.4300000
20190319,2,67.4900000,68.2000000,67.1300000,67.7100000
20190320,3,67.6600000,68.5700000,67.1900000,68.3000000
20190321,4,68.3800000,68.6900000,67.5900000,67.7400000
20190322,5,67.7600000,67.9800000,66.2000000,67.0800000
20190325,1,67.0000000,67.6500000,66.3600000,66.9000000
20190326,2,66.8800000,67.7700000,66.8500000,67.4400000
20190327,3,67.3500000,67.7000000,66.6100000,67.3000000
20190328,4,67.1100000,67.3200000,65.9300000,67.3100000
